"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2022 - 01/01/2023","2022","BZN|ES","Biomass","702.30",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Energy storage","n/e",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Fossil Brown coal/Lignite","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Fossil Coal-derived gas","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Fossil Gas","29926.90",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Fossil Hard coal","4641.80",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Fossil Oil","669.00",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Fossil Oil shale","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Fossil Peat","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Geothermal","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Hydro Pumped Storage","5695.40",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Hydro Run-of-river and pondage","1154.80",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Hydro Water Reservoir","19186.70",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Marine","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Nuclear","7117.20",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Other","118.40",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Other renewable","271.70",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Solar","14639.90",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Waste","565.30",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Wind Offshore","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","Wind Onshore","27734.80",""
"01/01/2022 - 01/01/2023","2022","BZN|ES","","","112424.20"
