id;name;geoid;geoname;value;datetime
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29113.9;2023-01-03T08:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30404.5;2023-01-03T09:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31516.1;2023-01-03T10:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31518.10000000001;2023-01-03T11:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31918.90799999999;2023-01-03T12:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31313.07500000001;2023-01-03T13:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30933;2023-01-03T14:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29974.5;2023-01-03T15:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30217.7;2023-01-03T16:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29408.5;2023-01-03T17:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30227.9;2023-01-03T18:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31495.8;2023-01-03T19:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30697.9;2023-01-03T20:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30666.2;2023-01-03T21:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26720.70000000001;2023-01-03T22:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;23627.80000000001;2023-01-03T23:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20671.9;2023-01-04T00:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;19210.833;2023-01-04T01:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;18434;2023-01-04T02:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;17799.2;2023-01-04T03:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;17577;2023-01-04T04:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;18300.2;2023-01-04T05:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20762.70000000001;2023-01-04T06:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;25197.40000000001;2023-01-04T07:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26782.4;2023-01-04T08:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28846.2;2023-01-04T09:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31076.40000000001;2023-01-04T10:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31469.05;2023-01-04T11:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30455.4;2023-01-04T12:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29970.4;2023-01-04T13:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30326.95;2023-01-04T14:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29696.8;2023-01-04T15:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;27270.10000000001;2023-01-04T16:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;27955.2;2023-01-04T17:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28780;2023-01-04T18:00:00+01:00
