"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2020 - 01/01/2021","2020","BZN|ES","Biomass","554.60",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Energy storage","n/e",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Fossil Brown coal/Lignite","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Fossil Coal-derived gas","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Fossil Gas","30012.30",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Fossil Hard coal","9213.90",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Fossil Oil","706.50",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Fossil Oil shale","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Fossil Peat","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Geothermal","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Hydro Pumped Storage","5645.40",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Hydro Run-of-river and pondage","1154.80",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Hydro Water Reservoir","19139.40",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Marine","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Nuclear","7117.20",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Other","117.40",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Other renewable","274.80",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Solar","8465.80",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Waste","543.10",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Wind Offshore","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","Wind Onshore","24446.60",""
"01/01/2020 - 01/01/2021","2020","BZN|ES","","","107391.80"
