"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2023 - 01/01/2024","2023","BZN|ES","Biomass","707.10",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Energy storage","n/e",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Fossil Brown coal/Lignite","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Fossil Coal-derived gas","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Fossil Gas","29902.60",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Fossil Hard coal","3222.60",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Fossil Oil","669.70",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Fossil Oil shale","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Fossil Peat","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Geothermal","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Hydro Pumped Storage","3417.50",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Hydro Run-of-river and pondage","1154.80",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Hydro Water Reservoir","15772.70",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Marine","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Nuclear","7117.20",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Other","118.40",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Other renewable","284.90",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Solar","18522.50",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Waste","545.90",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Wind Offshore","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","Wind Onshore","29320.40",""
"01/01/2023 - 01/01/2024","2023","BZN|ES","","","110756.30"
