Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
30/06/2024 20:00:00 - 30/06/2024 21:00:00;344.00;n/e;n/e;n/e;519.00;0.00;123.00;n/e;n/e;n/e;2093.00;6162.00;2570.00;n/e;37224.00;n/e;n/e;1194.00;205.00;354.00;2207.00
30/06/2024 21:00:00 - 30/06/2024 22:00:00;342.00;n/e;n/e;n/e;534.00;0.00;123.00;n/e;n/e;n/e;2347.00;6229.00;2637.00;n/e;38034.00;n/e;n/e;440.00;205.00;338.00;2175.00
30/06/2024 22:00:00 - 30/06/2024 23:00:00;341.00;n/e;n/e;n/e;559.00;0.00;122.00;n/e;n/e;n/e;2553.00;6199.00;2970.00;n/e;37918.00;n/e;n/e;292.00;206.00;335.00;2390.00
30/06/2024 23:00:00 - 01/07/2024 00:00:00;341.00;n/e;n/e;n/e;570.00;0.00;122.00;n/e;n/e;n/e;2592.00;6055.00;2599.00;n/e;38000.00;n/e;n/e;0.00;203.00;346.00;2506.00
01/07/2024 00:00:00 - 01/07/2024 01:00:00;345.00;n/e;n/e;n/e;535.00;0.00;122.00;n/e;n/e;n/e;1913.00;5883.00;2048.00;n/e;37960.00;n/e;n/e;0.00;204.00;504.00;2486.00
01/07/2024 01:00:00 - 01/07/2024 02:00:00;345.00;n/e;n/e;n/e;542.00;0.00;123.00;n/e;n/e;n/e;1696.00;5866.00;1923.00;n/e;37994.00;n/e;n/e;0.00;204.00;419.00;2436.00
01/07/2024 02:00:00 - 01/07/2024 03:00:00;345.00;n/e;n/e;n/e;537.00;0.00;123.00;n/e;n/e;n/e;1274.00;5687.00;1880.00;n/e;37879.00;n/e;n/e;0.00;205.00;373.00;2290.00
01/07/2024 03:00:00 - 01/07/2024 04:00:00;344.00;n/e;n/e;n/e;533.00;0.00;123.00;n/e;n/e;n/e;380.00;5664.00;1718.00;n/e;37733.00;n/e;n/e;0.00;200.00;335.00;2106.00
01/07/2024 04:00:00 - 01/07/2024 05:00:00;346.00;n/e;n/e;n/e;543.00;0.00;123.00;n/e;n/e;n/e;;5690.00;1720.00;n/e;37942.00;n/e;n/e;0.00;199.00;328.00;1909.00
01/07/2024 05:00:00 - 01/07/2024 06:00:00;344.00;n/e;n/e;n/e;529.00;0.00;123.00;n/e;n/e;n/e;1156.00;5792.00;1717.00;n/e;37943.00;n/e;n/e;293.00;202.00;263.00;1822.00
01/07/2024 06:00:00 - 01/07/2024 07:00:00;344.00;n/e;n/e;n/e;507.00;0.00;123.00;n/e;n/e;n/e;1983.00;5888.00;1835.00;n/e;38138.00;n/e;n/e;478.00;202.00;225.00;1808.00
01/07/2024 07:00:00 - 01/07/2024 08:00:00;345.00;n/e;n/e;n/e;503.00;0.00;123.00;n/e;n/e;n/e;1477.00;6005.00;1969.00;n/e;38166.00;n/e;n/e;1291.00;200.00;192.00;1687.00
01/07/2024 08:00:00 - 01/07/2024 09:00:00;347.00;n/e;n/e;n/e;523.00;0.00;123.00;n/e;n/e;n/e;1493.00;5708.00;2305.00;n/e;38323.00;n/e;n/e;3123.00;199.00;150.00;1553.00
