Source,Maximum (GW)
Nuclear,62.99
Solar,29.78
Wind onshore,25.01
Fossil gas,12.77
Hydro Run-of-River,11.50
Biomass,1.45
Hydro pumped storage,5.06
Fossil oil,2.98
Fossil hard coal,1.81
Others,1.63
Wind offshore,1.53
Hydro water reservoir,8.79
Waste,1.07
Marine,0.24
Geothermal,0.00
