Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
29/08/2024 13:00:00 - 29/08/2024 14:00:00;568.00;n/e;n/e;484.00;14316.00;323.00;137.00;n/e;n/e;562.00;;2347.00;441.00;n/e;n/e;2128.00;n/e;13555.00;313.00;6.00;1775.00
29/08/2024 14:00:00 - 29/08/2024 15:00:00;563.00;n/e;n/e;486.00;15307.00;324.00;137.00;n/e;n/e;564.00;;2490.00;495.00;n/e;n/e;2135.00;n/e;12337.00;309.00;5.00;2496.00
29/08/2024 15:00:00 - 29/08/2024 16:00:00;557.00;n/e;n/e;483.00;16494.00;308.00;136.00;n/e;n/e;563.00;0.00;2952.00;552.00;n/e;n/e;2177.00;n/e;10307.00;309.00;1.00;2598.00
29/08/2024 16:00:00 - 29/08/2024 17:00:00;551.00;n/e;n/e;483.00;18762.00;317.00;136.00;n/e;n/e;562.00;172.00;3906.00;923.00;n/e;n/e;2318.00;n/e;7952.00;307.00;1.00;2492.00
29/08/2024 17:00:00 - 29/08/2024 18:00:00;551.00;n/e;n/e;496.00;20675.00;284.00;136.00;n/e;n/e;561.00;1331.00;4349.00;988.00;n/e;n/e;2420.00;n/e;5227.00;315.00;0.00;2450.00
29/08/2024 18:00:00 - 29/08/2024 19:00:00;554.00;n/e;n/e;546.00;21439.00;362.00;136.00;n/e;n/e;558.00;2732.00;5677.00;1239.00;n/e;n/e;2495.00;n/e;2208.00;319.00;0.00;2027.00
29/08/2024 19:00:00 - 29/08/2024 20:00:00;563.00;n/e;n/e;565.00;22809.00;405.00;136.00;n/e;n/e;556.00;3243.00;5814.00;1368.00;n/e;n/e;2621.00;n/e;286.00;321.00;0.00;1376.00
29/08/2024 20:00:00 - 29/08/2024 21:00:00;562.00;n/e;n/e;620.00;22971.00;409.00;152.00;n/e;n/e;563.00;2929.00;5944.00;1458.00;n/e;n/e;2581.00;n/e;0.00;322.00;6.00;1099.00
29/08/2024 21:00:00 - 29/08/2024 22:00:00;561.00;n/e;n/e;604.00;21834.00;401.00;139.00;n/e;n/e;564.00;2096.00;5231.00;1163.00;n/e;n/e;2433.00;n/e;0.00;325.00;4.00;904.00
29/08/2024 22:00:00 - 29/08/2024 23:00:00;557.00;n/e;n/e;586.00;20118.00;411.00;148.00;n/e;n/e;564.00;740.00;4356.00;872.00;n/e;n/e;2323.00;n/e;0.00;321.00;1.00;966.00
