Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
08/02/2024 01:00:00 - 08/02/2024 02:00:00;378.00;n/e;n/e;n/e;303.10;0.00;n/e;n/e;n/e;n/e;280.30;1082.30;595.90;n/e;n/e;33.60;n/e;0.10;n/e;25.00;3672.50
08/02/2024 02:00:00 - 08/02/2024 03:00:00;385.40;n/e;n/e;n/e;354.90;0.00;n/e;n/e;n/e;n/e;165.20;910.50;590.20;n/e;n/e;33.40;n/e;0.00;n/e;25.00;3776.10
08/02/2024 03:00:00 - 08/02/2024 04:00:00;384.60;n/e;n/e;n/e;362.40;0.00;n/e;n/e;n/e;n/e;133.60;704.40;625.60;n/e;n/e;33.10;n/e;0.10;n/e;25.00;4024.00
08/02/2024 04:00:00 - 08/02/2024 05:00:00;387.80;n/e;n/e;n/e;367.50;0.00;n/e;n/e;n/e;n/e;161.10;778.20;663.10;n/e;n/e;33.30;n/e;0.10;n/e;25.00;4277.70
08/02/2024 05:00:00 - 08/02/2024 06:00:00;382.50;n/e;n/e;n/e;414.80;0.00;n/e;n/e;n/e;n/e;160.30;905.70;757.30;n/e;n/e;32.90;n/e;0.00;n/e;25.00;4332.90
08/02/2024 06:00:00 - 08/02/2024 07:00:00;360.60;n/e;n/e;n/e;391.90;0.00;n/e;n/e;n/e;n/e;172.40;1009.90;747.30;n/e;n/e;32.50;n/e;0.10;n/e;25.00;4439.80
08/02/2024 07:00:00 - 08/02/2024 08:00:00;382.90;n/e;n/e;n/e;386.30;0.00;n/e;n/e;n/e;n/e;1093.40;1198.70;931.80;n/e;n/e;33.20;n/e;0.10;n/e;25.00;4453.70
08/02/2024 08:00:00 - 08/02/2024 09:00:00;380.50;n/e;n/e;n/e;252.70;0.00;n/e;n/e;n/e;n/e;1689.90;1390.40;957.40;n/e;n/e;33.40;n/e;1.50;n/e;25.00;4519.00
08/02/2024 09:00:00 - 08/02/2024 10:00:00;379.70;n/e;n/e;n/e;179.20;0.00;n/e;n/e;n/e;n/e;1142.60;1535.10;872.40;n/e;n/e;33.40;n/e;50.40;n/e;25.00;4563.20
08/02/2024 10:00:00 - 08/02/2024 11:00:00;385.80;n/e;n/e;n/e;208.40;0.00;n/e;n/e;n/e;n/e;747.10;1497.50;821.00;n/e;n/e;33.30;n/e;141.10;n/e;19.20;4569.80
08/02/2024 11:00:00 - 08/02/2024 12:00:00;380.70;n/e;n/e;n/e;225.90;0.00;n/e;n/e;n/e;n/e;471.00;1470.30;730.80;n/e;n/e;33.10;n/e;165.30;n/e;19.10;4543.70
08/02/2024 12:00:00 - 08/02/2024 13:00:00;379.80;n/e;n/e;n/e;224.60;0.00;n/e;n/e;n/e;n/e;355.60;1124.70;664.10;n/e;n/e;33.60;n/e;192.10;n/e;14.80;4511.50
08/02/2024 13:00:00 - 08/02/2024 14:00:00;381.60;n/e;n/e;n/e;224.30;0.00;n/e;n/e;n/e;n/e;55.20;959.60;531.70;n/e;n/e;33.70;n/e;196.70;n/e;24.30;4597.50
08/02/2024 14:00:00 - 08/02/2024 15:00:00;380.50;n/e;n/e;n/e;227.50;0.00;n/e;n/e;n/e;n/e;84.60;1084.00;827.90;n/e;n/e;32.70;n/e;154.10;n/e;23.20;4617.10
08/02/2024 15:00:00 - 08/02/2024 16:00:00;382.20;n/e;n/e;n/e;224.50;0.00;n/e;n/e;n/e;n/e;356.40;1100.70;815.00;n/e;n/e;31.90;n/e;101.00;n/e;25.00;4682.90
08/02/2024 16:00:00 - 08/02/2024 17:00:00;380.10;n/e;n/e;n/e;193.80;0.00;n/e;n/e;n/e;n/e;839.10;1053.20;751.00;n/e;n/e;31.30;n/e;52.80;n/e;25.00;4762.60
08/02/2024 17:00:00 - 08/02/2024 18:00:00;383.00;n/e;n/e;n/e;188.60;0.00;n/e;n/e;n/e;n/e;1051.10;1135.00;752.10;n/e;n/e;31.70;n/e;21.80;n/e;25.00;4838.60
